"species","vlength","gear","port","mval_mean","mprice_mean","mkg_mean"
"HOM","VL1824","OTB","CIVITAVECCHIA",1729.06055288738,0.773463822455781,1883.84538132401
"HOM","VL1824","OTB","FIUMICINO",1915.72049893773,0.85696275783453,2087.21505317148
"HOM","VL1824","OTB","IMPERIA",1532.57639915018,0.685570206267624,1669.77204253719
"HOM","VL1824","OTB","LIVORNO",681.145066288969,0.304697869452277,742.120907794305
"HOM","VL1824","OTB","PORTO ERCOLE",1226.06111932014,0.548456165014099,1335.81763402975
"HOM","VL1824","OTB","PORTO SANTO STEFANO",1729.06055288738,0.773463822455781,1883.84538132401
"HOM","VL1824","OTB","PORTOFERRAIO",340.572533144485,0.152348934726139,371.060453897153
"HOM","VL1824","OTB","SAVONA",2043.43519886691,0.914093608356832,2226.36272338292
"HOM","VL1824","OTB","VIAREGGIO",2043.43519886691,0.914093608356832,2226.36272338292
"HOM","VL2440","OTB","ANZIO",31.391726430404,0.0790120663510479,31.7901785714286
"HOM","VL2440","OTB","CIVITAVECCHIA",67.6129492347164,0.170179835217642,68.4711538461539
"HOM","VL2440","OTB","LA SPEZIA",439.484170025656,1.10616892891467,445.0625
"HOM","VL2440","OTB","PORTO SANTO STEFANO",33.8064746173582,0.0850899176088209,34.2355769230769
"HOM","VL2440","OTB","PORTOFERRAIO",366.236808354714,0.921807440762226,370.885416666667
"ILL","VL1218","OTB","CHIAVARI",294.057984,2.96427158175485,59.52
"ILL","VL1218","OTB","FIUMICINO",30.63104,0.30877828976613,6.2
"ILL","VL1218","OTB","GENOVA",490.09664,4.94045263625808,99.2
"ILL","VL1218","OTB","IMPERIA",122.52416,1.23511315906452,24.8
"ILL","VL1218","OTB","LIVORNO",326.731093333333,3.29363509083872,66.1333333333333
"ILL","VL1218","OTB","PIOMBINO",490.09664,4.94045263625808,99.2
"ILL","VL1218","OTB","PORTO ERCOLE",196.038656,1.97618105450323,39.68
"ILL","VL1218","OTB","PORTO SANTO STEFANO",37.6997415384615,0.380034818173698,7.63076923076923
"ILL","VL1218","OTB","PORTOFINO",490.09664,4.94045263625808,99.2
"ILL","VL2440","OTB","ANZIO",22.8457569444444,0.374331265038359,4.35664682539683
"ILL","VL2440","OTB","CIVITAVECCHIA",49.2062457264957,0.806251955467235,9.38354700854701
"ILL","VL2440","OTB","LA SPEZIA",319.840597222222,5.24063771053703,60.9930555555556
"ILL","VL2440","OTB","PORTO SANTO STEFANO",24.6031228632479,0.403125977733618,4.6917735042735
"ILL","VL2440","OTB","PORTOFERRAIO",266.533831018519,4.36719809211419,50.8275462962963
"MAC","VL2440","OTB","ANZIO",12.3803551587302,0.143098119701391,6.63492063492063
"MAC","VL2440","OTB","CIVITAVECCHIA",26.6653803418803,0.308211334741459,14.2905982905983
"MAC","VL2440","OTB","LA SPEZIA",173.324972222222,2.00337367581948,92.8888888888889
"MAC","VL2440","OTB","PORTO SANTO STEFANO",13.3326901709402,0.154105667370729,7.14529914529915
"MAC","VL2440","OTB","PORTOFERRAIO",144.437476851852,1.6694780631829,77.4074074074074
"MUR","VL1218","OTB","CHIAVARI",121.084563636364,1.83723364017577,94.6827630181818
"MUR","VL1218","OTB","FIUMICINO",12.6129753787879,0.191378504184976,9.86278781439394
"MUR","VL1218","OTB","GENOVA",201.807606060606,3.06205606695962,157.804605030303
"MUR","VL1218","OTB","IMPERIA",50.4519015151515,0.765514016739905,39.4511512575758
"MUR","VL1218","OTB","LIVORNO",134.538404040404,2.04137071130641,105.203070020202
"MUR","VL1218","OTB","PIOMBINO",201.807606060606,3.06205606695962,157.804605030303
"MUR","VL1218","OTB","PORTO ERCOLE",80.7230424242424,1.22482242678385,63.1218420121212
"MUR","VL1218","OTB","PORTO SANTO STEFANO",15.523662004662,0.235542774381509,12.1388157715618
"MUR","VL1218","OTB","PORTOFINO",201.807606060606,3.06205606695962,157.804605030303
"MUR","VL1824","OTB","ANZIO",9641.74439769589,4.82196446373851,1860.46760665075
"MUR","VL1824","OTB","CHIAVARI",4153.366817469,2.0771539228412,801.432199788016
"MUR","VL1824","OTB","CIVITAVECCHIA",8785.96826772288,4.39397945216409,1695.33734570542
"MUR","VL1824","OTB","FIUMICINO",9734.45347844296,4.86832950665907,1878.35671825316
