"MMSI","id","gear","vlength"
"247220130","1401:120:3","OTB","VL2440"
"247220290","1401:120:4","OTB","VL1218"
"247066930","1401:120:3","OTB","VL1218"
"247081680","1401:120:3","OTB","VL1218"
"247081680","1401:120:4","OTB","VL1218"
"247081680","1401:130:1","OTB","VL1218"
"247066860","1401:120:4","OTB","VL1824"
"247065690","1401:120:3","OTB","VL1824"
"247066930","1401:120:4","OTB","VL1218"
"247066930","1401:130:1","OTB","VL1218"
"247066190","1401:120:4","OTB","VL1218"
"247065690","1401:120:4","OTB","VL1824"
"247147420","1401:120:4","OTB","VL1824"
"247220130","1401:120:4","OTB","VL2440"
"247303790","1401:120:4","OTB","VL1824"
"247066290","1401:120:4","OTB","VL1824"
"247068070","1401:120:4","OTB","VL1824"
"247096930","1401:120:4","OTB","VL1824"
"247222320","1401:121:1","OTB","VL1218"
"247152290","1401:121:1","OTB","VL1824"
"247110830","1401:121:1","OTB","VL1824"
"247094330","1401:121:1","OTB","VL1824"
"247094280","1401:121:1","OTB","VL1824"
"247065720","1401:121:1","OTB","VL1824"
"247147420","1401:121:1","OTB","VL1824"
"247066190","1401:121:1","OTB","VL1218"
"247065730","1401:121:1","OTB","VL1824"
"247099820","1401:121:1","OTB","VL1824"
"247099810","1401:121:1","OTB","VL1824"
"247122360","1401:121:1","OTB","VL1824"
"247094340","1401:121:1","OTB","VL1824"
"247065440","1401:121:1","OTB","VL1824"
"247303790","1401:121:1","OTB","VL1824"
"247065690","1401:121:1","OTB","VL1824"
"247042630","1401:121:1","OTB","VL1218"
"247128190","1401:121:1","OTB","VL1824"
"247094310","1401:121:1","OTB","VL1824"
"247068110","1401:121:1","OTB","VL1824"
"247101230","1401:121:1","OTB","VL1824"
"247066180","1401:121:1","OTB","VL2440"
"247066290","1401:121:1","OTB","VL1824"
"247068070","1401:121:1","OTB","VL1824"
"247094260","1401:121:1","OTB","VL2440"
"247041470","1401:121:1","OTB","VL1824"
"247111950","1401:121:1","OTB","VL1824"
"247099830","1401:121:1","OTB","VL1824"
"247099790","1401:121:1","OTB","VL2440"
"247096930","1401:121:1","OTB","VL1824"
"247300170","1401:121:1","OTB","VL1824"
"247099830","1401:121:2","OTB","VL1824"
"247094280","1401:121:2","OTB","VL1824"
"247111950","1401:121:2","OTB","VL1824"
"247110830","1401:121:2","OTB","VL1824"
"247094330","1401:121:2","OTB","VL1824"
"247128190","1401:121:2","OTB","VL1824"
"247094260","1401:121:2","OTB","VL2440"
"247099790","1401:121:2","OTB","VL2440"
"247099820","1401:121:2","OTB","VL1824"
"247094310","1401:121:2","OTB","VL1824"
"247094340","1401:121:2","OTB","VL1824"
"247122360","1401:121:2","OTB","VL1824"
"247099810","1401:121:2","OTB","VL1824"
"247066190","1401:121:3","OTB","VL1218"
"247152290","1401:121:3","OTB","VL1824"
"247065730","1401:121:3","OTB","VL1824"
"247065440","1401:121:3","OTB","VL1824"
"247065720","1401:121:3","OTB","VL1824"
"247065690","1401:121:3","OTB","VL1824"
"247066180","1401:121:3","OTB","VL2440"
"247101230","1401:121:3","OTB","VL1824"
"247147420","1401:121:3","OTB","VL1824"
"247096930","1401:121:3","OTB","VL1824"
"247300170","1401:121:3","OTB","VL1824"
"247220130","1401:130:1","OTB","VL2440"
"247067010","1401:130:1","OTB","VL1824"
"247081680","1401:130:3","OTB","VL1218"
"247063630","1401:130:3","OTB","VL1824"
"247066860","1401:130:3","OTB","VL1824"
"247200190","1401:130:3","OTB","VL1218"
"247066930","1401:130:3","OTB","VL1218"
