"vessel_name","MMSI","quarter","name_vreg","Gear","vlength","Place.of.registration.name","port","lon_port","lat_port"
"MORLE II","247081680",2,"MORLE' II","OTB","VL1218","Livorno","LIVORNO",10.3030760000001,43.5636405
"NUOVA MAREA","247220130",2,"NUOVA MAREA","OTB","VL2440","Portoferraio","PORTOFERRAIO",10.3239135740001,42.813720703
"CESARINA","247220290",2,"CESARINA","OTB","VL1218","Piombino","PIOMBINO",10.5452880860001,42.9302978520001
"MONSSER","247044790",2,"MONSSER","OTB","VL1218","Piombino","PIOMBINO",10.5452880860001,42.9302978520001
"NUOVA MAREA","247220130",2,"NUOVA MAREA","OTB","VL2440","Portoferraio","PORTOFERRAIO",10.3239135740001,42.813720703
"F/V GRAZIA ROSA II","247048990",3,"GRAZIA ROSA II","OTB","VL1824","San Remo","IMPERIA",8.02525599999996,43.8760870000001
"CESARINA","247220290",2,"CESARINA","OTB","VL1218","Piombino","PIOMBINO",10.5452880860001,42.9302978520001
"MONSSER","247044790",2,"MONSSER","OTB","VL1218","Piombino","PIOMBINO",10.5452880860001,42.9302978520001
"NUOVA MAREA","247220130",2,"NUOVA MAREA","OTB","VL2440","Portoferraio","PORTOFERRAIO",10.3239135740001,42.813720703
"NETTUNO II","247065720",2,"NETTUNO II","OTB","VL1824","Porto Santo Stefano","PORTO SANTO STEFANO",11.125305176,42.436096191
"NUOVA MAREA","247220130",2,"NUOVA MAREA","OTB","VL2440","Portoferraio","PORTOFERRAIO",10.3239135740001,42.813720703
"FRANCESCO GIACALONE","247147190",4,"FRANCESCO GIACALONE","OTB","VL2440","Mazara Del Vallo","PORTOFERRAIO",10.3239135740001,42.813720703
"LIBERA","247096930",4,"LIBERA","OTB","VL1824","Porto Santo Stefano","PORTO SANTO STEFANO",11.125305176,42.436096191
"MICHELE GIACALONE","247149010",4,"MICHELE GIACALONE","OTB","VL2440","Mazara Del Vallo","PORTOFERRAIO",10.3239135740001,42.813720703
"NUOVA MAREA","247220130",2,"NUOVA MAREA","OTB","VL2440","Portoferraio","PORTOFERRAIO",10.3239135740001,42.813720703
"NUOVO GIACOMO PRIMO","247144430",4,"NUOVO GIACOMO I","OTB","VL1824","Mazara Del Vallo","PORTOFERRAIO",10.3239135740001,42.813720703
"SICULAPESCA","247146950",1,"SICULA PESCA","OTB","VL2440","Mazara Del Vallo","PORTOFERRAIO",10.3239135740001,42.813720703
"VALENTINO GIACALONE","247145030",2,"VALENTINO GIACALONE","OTB","VL2440","Mazara Del Vallo","PORTOFERRAIO",10.3239135740001,42.813720703
"CERNIA","247303790",3,"CERNIA","OTB","VL1824","Porto Santo Stefano","PORTO SANTO STEFANO",11.125305176,42.436096191
"FRIDA","247065690",1,"FRIDA","OTB","VL1824","Porto Santo Stefano","PORTO SANTO STEFANO",11.125305176,42.436096191
"FURORE","247101230",2,"FURORE","OTB","VL1824","Porto Santo Stefano","PORTO SANTO STEFANO",11.125305176,42.436096191
"GIANNI RIVERA","247066180",1,"GIANNI RIVERA","OTB","VL2440","Porto Santo Stefano","PORTO SANTO STEFANO",11.125305176,42.436096191
