"cscode","year","vessel_length","gear_type","supra_region","GVL_disagg","Other_income_disagg","Repair_maintenance_costs_disagg","Other_variable_costs_disagg","Other_non_variable_costs_disagg","Personnel_costs_disagg","Value_of_unpaid_labour_disagg","totfishdays","Fuel_cost","m","q","loa","loaFC","yFC","EC","GVA","Gross_profit"
"1300:390:1",2020,"VL1218","OTB","MBS",216670.312356885,188.892207839671,16290.1069196829,22604.5471901974,9229.87635606116,80416.2751214358,17371.0152839705,128.5,0.335314196709714,1.47,12.811,15,34.861,4479.6385,1502.08638517741,167232.587713606,69445.2973081996
"1300:390:1",2020,"VL1824","OTB","MBS",1319589.03051106,16810.0878604294,152333.960747699,119244.65496193,89928.3283421889,491069.024230938,56598.85548039,653,0.335314196709714,1.47,12.811,21,43.681,28523.693,9564.39920548948,965327.775114186,417659.895402859
"1300:390:1",2020,"VL2440","OTB","MBS",268031.113427504,7669.25909260947,25519.8260878728,20756.2540609177,18158.1543733568,108195.621182632,3005.23129870335,128,0.335314196709714,1.47,12.811,32,59.851,7660.928,2568.81791837095,208697.320079595,97496.46759826
"1300:390:1",2021,"VL1218","OTB","MBS",429424.118602362,124.772703412073,31795.1492125984,42511.0246883202,20660.4707185039,140084.935744751,32719.4171203412,260,0.49821880876196,1.47,12.811,15,34.861,9063.86,4515.78553198518,330066.461154366,157262.108289275
"1300:390:1",2021,"VL1824","OTB","MBS",4228313.15753353,24622.3501480508,355097.430281655,476597.111982181,240609.196731935,1491239.6606892,239158.699337755,2045,0.49821880876196,1.47,12.811,21,43.681,89327.645,44504.7128814113,3136127.0558044,1405728.69577745
"1300:390:1",2021,"VL2440","OTB","MBS",1621063.89877439,23346.7555134984,156039.146575613,134691.00172382,97332.4675062935,714022.786763285,49658.8501959553,572,0.49821880876196,1.47,12.811,32,59.851,34234.772,17056.4073240773,1239291.63115809,475609.994198848
"1300:390:1",2022,"VL1218","OTB","MBS",0,0,0,0,0,0,0,180,NA,1.47,12.811,15,34.861,6274.98,NA,NA,NA
"1300:390:1",2022,"VL1824","OTB","MBS",0,0,0,0,0,0,0,1645,NA,1.47,12.811,21,43.681,71855.245,NA,NA,NA
"1300:390:1",2022,"VL2440","OTB","MBS",0,0,0,0,0,0,0,539.5,NA,1.47,12.811,32,59.851,32289.6145,NA,NA,NA
"1300:390:2",2017,"VL1824","OTB","MBS",16953.788957177,26.0509864222173,1569.97470244696,1830.43658165151,778.501035873931,5867.78066955472,582.605406352727,8,0.423215748104041,1.47,12.811,21,43.681,349.448,147.891896743461,12653.0357268834,6202.64965097592
"1300:390:2",2017,"VL2440","OTB","MBS",14778.9450393312,122.088718362242,1192.59204104269,1068.83001563374,1049.28352453675,5724.99822983247,256.923873811013,7,0.423215748104041,1.47,12.811,32,59.851,418.957,177.309200178425,11413.0189763018,5431.09687265836
