"cscode","year","vessel_length","gear_type","supra_region","GVL_disagg","Other_income_disagg","Repair_maintenance_costs_disagg","Other_variable_costs_disagg","Other_non_variable_costs_disagg","Personnel_costs_disagg","Value_of_unpaid_labour_disagg","totfishdays","Energy_consumption","Energy_Costs","GVA","Gross_profit"
"1400:111:1",2017,"VL1824","OTB","MBS",2173273.13317392,9683.63951339297,198729.078046204,271103.463395431,97566.3039565068,727950.285090017,65124.8360181366,790,882823.497735238,419354.577371944,1196203.34991723,403128.228809077
"1400:111:1",2017,"VL2440","OTB","MBS",2467060.3258293,90033.6270255723,238996.890687956,425137.806540079,251791.131499499,802037.752568825,7047.01807478455,192,581588.940001335,277321.674234319,1363846.44989302,554761.679249412
"1400:111:1",2018,"VL0612","OTB","MBS",239572.284838266,0,56477.9536063317,26283.9191052994,18030.4819683414,29674.1551961459,51811.4381761872,299,56831.8438089231,28190.4935431252,110589.436615168,29103.8432428348
"1400:111:1",2018,"VL1218","OTB","MBS",5578802.0011494,1229.74436470283,343162.677376828,630124.719590536,235321.883029255,1807670.24595055,333974.14463319,2451.1,1497054.83469682,573294.44110926,3798128.02440822,1656483.63382448
"1400:111:1",2018,"VL1824","OTB","MBS",4776183.32374699,35623.8465582466,401323.194168126,464410.814735207,249930.897851478,1496355.73252648,170375.08039892,1694.3,1893377.02811749,899382.861318082,2796759.40223234,1130028.58930694
"1400:111:1",2018,"VL2440","OTB","MBS",6998666.1722661,18202.5748922277,764474.993730877,1223018.41901412,798832.032389124,2578560.76813703,28298.8768357951,618.5,1873503.95516055,893351.330801698,3337191.97122252,730332.326249691
"1400:111:1",2019,"VL0612","OTB","MBS",233302.473853741,0,13741.0447175773,23783.9538337058,31072.6712799568,25469.5075518225,76978.0272713262,259,49228.9215602378,24419.1900590951,140285.613963406,37838.0791402576
"1400:111:1",2019,"VL1218","OTB","MBS",5253704.9612213,6593.09363478734,532020.128874785,461016.670720355,143400.777843603,1821263.97736566,207620.748171325,2414.5,1474700.70514279,564733.967630169,3559126.50978718,1530241.78425019
"1400:111:1",2019,"VL1824","OTB","MBS",4629214.74021204,54428.3303240014,439410.635387385,453039.72784497,241949.641418049,1483740.49272848,163258.150414002,1719.5,1921537.98019714,912759.741507668,2636483.32437797,989484.681235492
"1400:111:1",2019,"VL2440","OTB","MBS",8852499.51531113,114047.894400691,779861.632283742,1623856.20102924,908924.914363272,3177676.70819376,61278.4310639333,794,2405112.59563052,1146840.67365651,4507063.98837906,1268108.84912136
"1400:111:1",2020,"VL0612","OTB","MBS",161757.165974915,0,61295.4992018244,21293.3576282782,4346.23288483466,22936.8311972634,46829.3628278221,152,28891.1045450044,14330.9532393145,60491.1230206627,-9275.07100442281
"1400:111:1",2020,"VL1218","OTB","MBS",4919962.45270814,3073.98098457715,374250.179778525,483881.496634018,169267.523035597,1884344.74404649,243424.653954389,1721.5,1051438.08817697,402646.314050667,3492990.92019391,1365221.52219303
"1400:111:1",2020,"VL1824","OTB","MBS",4214793.93976063,56778.8802677165,505947.673937008,394331.065212598,238719.406998425,1505549.96737008,165537.69160315,1506.5,1683510.88523815,799693.254190929,2332881.41968939,661793.760716158
"1400:111:1",2020,"VL2440","OTB","MBS",9269047.52071841,96866.6630366636,1071535.17962983,1861840.59077905,905152.573369264,3412655.50134347,19603.4056884098,835,2529306.06719331,1206060.40617529,4321325.43380163,889066.526769752
"1400:111:1",2021,"VL0612","OTB","MBS",137119.669367494,0,11585.5450920737,6278.29080864692,1157.3034427542,31775.2260448359,19885.1414504404,239,45427.4604358951,22533.53831708,95564.9917069392,43904.624211663
"1400:111:1",2021,"VL1218","OTB","MBS",4761097.5799357,761.973284345886,319357.530095788,423817.96964506,213146.685717754,1661054.56344509,246289.634545755,1588,969900.484475769,371421.636196607,3434115.73156484,1526771.533574
"1400:111:1",2021,"VL1824","OTB","MBS",2408752.21006704,11749.0067022147,207186.687367381,269589.894766535,125236.84266002,860094.569823366,128781.430768033,888.5,992897.060427543,471641.192398699,1346846.59957662,357970.59898522
"1400:111:1",2021,"VL2440","OTB","MBS",2940716.20035088,26453.1656086717,268298.569432778,445134.018548973,315307.932669665,1023108.55081514,17714.6978597638,204,617938.248751419,294654.278873964,1643774.56643417,602951.317759267
"1400:111:1",2022,"VL0612","OTB","MBS",488895.168632219,4956.79799392097,107389.378237082,26117.2725835866,25399.1998176292,105039.694042553,94754.555174772,289,54931.1132467518,27247.6676721177,307698.448315724,107904.199098399
"1400:111:1",2022,"VL1218","OTB","MBS",4503250.36315962,124.237909725189,452420.007179268,279802.85455361,159249.586618254,1501770.13195358,174160.094808486,1414,863626.753809028,330724.303263226,3281177.84945499,1605247.62269292
"1400:111:1",2022,"VL1824","OTB","MBS",2309896.75244117,19201.7568220157,199690.552604694,179655.142704403,82492.0125875593,775377.027726192,67768.1107542432,729.5,815214.862782097,387239.448345358,1480021.35302117,636876.214540738
"1400:111:1",2022,"VL2440","OTB","MBS",2304768.28042407,21210.0865952933,242809.178197648,437006.630585568,109345.442208721,776075.092798699,10670.2257346412,156.5,474055.568282338,226046.052175369,1310771.06385206,524025.745318716
"1400:111:1",2023,"VL0612","OTB","MBS",302713.199179487,0,33302.4652115385,50156.3241089744,7166.49563461538,67999.9107884616,65956.144,361,68616.3732943855,34036.0139433719,178051.900280987,44095.8454925255
"1400:111:1",2023,"VL1218","OTB","MBS",3627186.32644428,731.782544422085,322252.250710835,437907.98525863,148898.949246393,1280404.58198594,191613.472207376,1120.5,684366.179379785,262076.790527896,2456782.13324495,984764.079051633
"1400:111:1",2023,"VL1824","OTB","MBS",2052803.62113621,57371.1760804511,192546.656043911,213968.15042966,127774.631284886,762053.71963712,64237.3452715303,647,723021.269664176,343446.090581833,1232439.26887637,406148.203967717
