"vessel_name","MMSI","quarter","Country","CFR","UVI","Event","Event.Start.Date","Event.End.Date","Registration.Number","External.marking","Place.of.registration","Place.of.registration.name","IRCS","IRCS.indicator","Licence.indicator","VMS.indicator","ERS.indicator","ERS.Exempt.indicator","AIS.indicator","Vessel.Type","Gear","Subsidiary.fishing.gear.1","Subsidiary.fishing.gear.2","Subsidiary.fishing.gear.3","Subsidiary.fishing.gear.4","Subsidiary.fishing.gear.5","LOA","LBP","Tonnage.GT","Other.tonnage","GTs","Power.of.main.engine","Power.of.auxiliary.engine","Hull.material","Date.of.entry.into.service","Segment","Country.of.importation.exportation","Type.of.export","Public.aid","Year.of.construction","vlength","port","X","Y"
"GIACOMO","247093040",2,"ITA","ITA000013170",NA,"MOD","2013-05-31","2100-12-31","00RO07997","00RO07997","00072","Roma","INSI","Y","Y","Y","Y","","Y","FX","OTB","PS","","","","",22.7,18.13,68,49.92,0,331,"0.00","1","1967-02-02","MFL","","","","1966-01-01","VL1824","FIUMICINO",12.2207031250001,41.7708740230001
"IMPERO ROMANO","247094320",4,"ITA","ITA000003598",NA,"MOD","2024-06-13","2100-12-31","00RO08392","00RO08392","00072","Roma","IJTZ","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",22,18.1,47,46.8,0,412,"0.00","1","1958-08-30","MFL","","","","1956-01-01","VL1824","FIUMICINO",12.2207031250001,41.7708740230001
"JAMAICA","247092810",3,"ITA","ITA000016561",NA,"MOD","2014-12-02","2100-12-31","00RO08157","00RO08157","00072","Roma","IPVT","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",20.82,18.2,69,58.55,0,272.05,"0.00","1","1980-11-19","MFL","","","","1980-01-01","VL1824","FIUMICINO",12.2207031250001,41.7708740230001
"L ALBA","247119090",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
"M/P SS. TRINITA","247094260",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
"MARIA","247093060",1,"ITA","ITA000006652",NA,"MOD","2020-09-01","2100-12-31","00RO08104","00RO08104","00072","Roma","IRRH","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",23.04,17.05,65,59.29,0,294,"0.00","1","1985-08-13","MFL","","","","1984-01-01","VL1824","FIUMICINO",12.2207031250001,41.7708740230001
"MARIAMADRE","247092830",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
"MARIANNA","247093010",2,"ITA","ITA000015809",NA,"MOD","2020-08-25","2100-12-31","00RO08043","00RO08043","00072","Roma","IWPS","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",23.14,19.04,55,56.1,0,324,"0.00","1","1988-08-02","MFL","","","","1987-01-01","VL1824","FIUMICINO",12.2207031250001,41.7708740230001
"MP CLAUDIO PADRE","247123920",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
"MP FRANCESCO PADRE","247099360",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
"MP NUOVA LUCIA","247892860",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
"M\P S. PIETRO I","247149790",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
"NONNO CIRO","247092850",2,"ITA","ITA000026164",NA,"MOD","2024-04-04","2100-12-31","00RO08237","00RO08237","00072","Roma","ILPG","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",21.36,19.02,112,52.97,0,320,"0.00","2","2003-08-27","MFL","","","","2003-01-01","VL1824","FIUMICINO",12.2207031250001,41.7708740230001
"S.VINCENZO","247092920",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
"SAN.PIETRO I","247149790",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
"ARDITO","247044930",2,"ITA","ITA000004238",NA,"MOD","2016-04-20","2100-12-31","02GE03356","02GE03356","00015","Santa Margherita Ligure","IJDM","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",18.2,16.3,26,29.41,0,161.8,"0.00","1","1985-01-22","MFL","","","","1981-01-01","VL1824","CHIAVARI",9.34481796800009,44.3062986360001
"JAZZ","247200190",4,"ITA","ITA000026814",NA,"MOD","2016-03-01","2100-12-31","05GE00099","05GE00099","00018","Sestri Levante","IFHQ2","Y","Y","Y","Y","","Y","FX","OTB","LLS","","","","",16.88,14.5,57,17,0,180,"0.00","2","2005-10-31","MFL","","","","2000-01-01","VL1218","CHIAVARI",9.34481796800009,44.3062986360001
"FURORE","247101230",2,"ITA","ITA000009725",NA,"MOD","2024-02-15","2100-12-31","02LI02941","02LI02941","00050","Porto Santo Stefano","IKRH","Y","Y","Y","Y","","Y","FX","OTB","PS","","","","",22.66,19,90,58.63,0,317,"0.00","1","1980-05-16","MFL","","","","1980-01-01","VL1824","PORTO SANTO STEFANO",11.125305176,42.436096191
"CESARINA","247220290",2,"ITA","ITA000005207",NA,"MOD","2015-02-25","2100-12-31","01LI01314","01LI01314","00049","Piombino","ILKN","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",15.3,14.6,24,22.8,0,191,"0.00","1","1982-06-10","MFL","","","","1950-01-01","VL1218","PIOMBINO",10.5452880860001,42.9302978520001
